sentence_orig,sentence,label,label_source,has_signoff
schedule by Tuesday at 6pm,schedule by tuesday at 6pm,deadline,synthetic,0
timesheet — resolve in in 180 days.,timesheet — resolve in in 180 days,deadline,synthetic,0
Don't forget to email the summary memo deadline for in 8 hours.,don't forget to email the summary memo deadline for in 8 hours,deadline,synthetic,0
"Needs to be due on October 9, 2026: budget.","needs to be due on october 9, 2026: budget",deadline,synthetic,0
Produce the expense report — before in 6 months.,produce the expense report — before in 6 months,deadline,synthetic,0
- Compile the presentation no later than in 30 days at noon,compile the presentation no later than in 30 days at noon,deadline,synthetic,0
"Make sure to send the dataset within May 8, 2026.","make sure to send the dataset within may 8, 2026",deadline,synthetic,0
Is the research notes due Friday?,is the research notes due friday,deadline,synthetic,0
- research notes - due Wednesday,research notes - due wednesday,deadline,synthetic,0
Analysis — no later than this Sunday.,analysis — no later than this sunday,deadline,synthetic,0
Please return the timesheet in by COB.,please return the timesheet in by cob,deadline,synthetic,0
Invoice - due 4pm.,invoice - due 4pm,deadline,synthetic,0
Return the application — deadline for in 2 seconds.,return the application — deadline for in 2 seconds,deadline,synthetic,0
due: test plan friday,due: test plan friday,deadline,synthetic,0
• draft - due Saturday please.,draft - due saturday please,deadline,synthetic,0
Share design doc due on in 2 hours - - Tarun,share design doc due on in 2 hours - - tarun,deadline,synthetic,0
"Ensure the summary memo is deadline for in 72 hours. Thanks,",ensure the summary memo is deadline for in 72 hours,deadline,synthetic,1
Documentation — prepare in next Wednesday.,documentation — prepare in next wednesday,deadline,synthetic,0
Report — turn in in 8pm.,report — turn in in 8pm,deadline,synthetic,0
eta: slides deadline for in 2 days.,eta: slides deadline for in 2 days,deadline,synthetic,0
Minutes — deadline for January 19.,minutes — deadline for january 19,deadline,synthetic,0
Please resolve the draft due by in 2 seconds.,please resolve the draft due by in 2 seconds,deadline,synthetic,0
due: application in 3 hours,due: application in 3 hours,deadline,synthetic,0
make minutes by 6pm,make minutes by 6pm,deadline,synthetic,0
"Turn in budget deadline November 3, 2026.","turn in budget deadline november 3, 2026",deadline,synthetic,0
summary by one hour tops at 6pm,summary by one hour tops at 6pm,deadline,synthetic,0
- Complete the application deadline for 5pm,complete the application deadline for 5pm,deadline,synthetic,0
implement release notes by Saturday.,implement release notes by saturday,deadline,synthetic,0
budget by Sunday,budget by sunday,deadline,synthetic,0
Submit the application — due Wednesday at 9am.,submit the application — due wednesday at 9am,deadline,synthetic,0
"Hand in draft within October 8, 2026.","hand in draft within october 8, 2026",deadline,synthetic,0
"• summary memo - due October 13, 2026 by 2pm","summary memo - due october 13, 2026 by 2pm",deadline,synthetic,0
Schedule — deadline for Tuesday.,schedule — deadline for tuesday,deadline,synthetic,0
Resolve presentation no later than next Sunday - - Ruthik,resolve presentation no later than next sunday - - ruthik,deadline,synthetic,0
• project plan - due in 2 days,project plan - due in 2 days,deadline,synthetic,0
Don't forget to hand in the form no later than Tuesday at noon. - Team,don't forget to hand in the form no later than tuesday at noon. - team,deadline,synthetic,0
"Ruthik, please return the application due by this Tuesday, to meet the deadline.","ruthik, please return the application due by this tuesday, to meet the deadline",deadline,synthetic,0
"make proposal by November 1, 2026","make proposal by november 1, 2026",deadline,synthetic,0
Make sure the contract is due by September 15.,make sure the contract is due by september 15,deadline,synthetic,0
due by: timesheet next week.,due by: timesheet next week,deadline,synthetic,0
"due: assignment May 20, 2026.","due: assignment may 20, 2026",deadline,synthetic,0
Please implement the draft in 2pm.,please implement the draft in 2pm,deadline,synthetic,0
"Tarun: Send the evaluation due by April 4, 2026 by 6pm, by then, please.","tarun: send the evaluation due by april 4, 2026 by 6pm, by then, please",deadline,synthetic,0
"Target: slides deadline this Tuesday, by then, please.","target: slides deadline this tuesday, by then, please",deadline,synthetic,0
do assignment by next Saturday,do assignment by next saturday,deadline,synthetic,0
Article needs to be expected by Friday at 3pm.,article needs to be expected by friday at 3pm,deadline,synthetic,0
"analysis by Monday by then, please.","analysis by monday by then, please",deadline,synthetic,0
Timesheet — due by the end of the week.,timesheet — due by the end of the week,deadline,synthetic,0
Can you finish the minutes no later than by COB?,can you finish the minutes no later than by cob,deadline,synthetic,0
"Do try to prepare the draft deadline May 1, thanks.",do try to prepare the draft deadline may 1,deadline,synthetic,1
* form - due in 3 hours,form - due in 3 hours,deadline,synthetic,0
Meeting notes — until in 60 days.,meeting notes — until in 60 days,deadline,synthetic,0
* expense report - due next Wednesday,expense report - due next wednesday,deadline,synthetic,0
- Deliver the design doc on or before Wednesday at 5pm,deliver the design doc on or before wednesday at 5pm,deadline,synthetic,0
* Submit the proposal due by August 21,submit the proposal due by august 21,deadline,synthetic,0
Target: application by Monday at 7pm.,target: application by monday at 7pm,deadline,synthetic,0
* documentation - due by COB,documentation - due by cob,deadline,synthetic,0
analysis - due March 9,analysis - due march 9,deadline,synthetic,0
finish expense report by 2pm - Ruthik,finish expense report by 2pm - ruthik,deadline,synthetic,0
"ETA: draft deadline for Sunday. Thanks,",eta: draft deadline for sunday,deadline,synthetic,1
• form - due Monday at 5pm,form - due monday at 5pm,deadline,synthetic,0
"Send the invoice due on May 4, 2026.","send the invoice due on may 4, 2026",deadline,synthetic,0
"finance, please return the contract no later than January 16 at 10am.","finance, please return the contract no later than january 16 at 10am",deadline,synthetic,0
Return the expense report expected by next Monday.,return the expense report expected by next monday,deadline,synthetic,0
• research notes - due next Monday,research notes - due next monday,deadline,synthetic,0
deliver expense report by Thursday.,deliver expense report by thursday,deadline,synthetic,0
Design doc - due November 3.,design doc - due november 3,deadline,synthetic,0
due: release notes Monday,due: release notes monday,deadline,synthetic,0
create schedule before 3pm at 5pm - Tarun,create schedule before 3pm at 5pm - tarun,deadline,synthetic,0
make summary by 9am,make summary by 9am,deadline,synthetic,0
"Please post the evaluation deadline in 30 seconds, if you can.","please post the evaluation deadline in 30 seconds, if you can",deadline,synthetic,0
• research notes - due in 10 days.,research notes - due in 10 days,deadline,synthetic,0
"Post the schedule — required by January 19, to meet the deadline.","post the schedule — required by january 19, to meet the deadline",deadline,synthetic,0
Is the expense report due in 1 hour?,is the expense report due in 1 hour,deadline,synthetic,0
Deliver the design doc within in 1 day.,deliver the design doc within in 1 day,deadline,synthetic,0
Needs to be required by May 1: draft.,needs to be required by may 1: draft,deadline,synthetic,0
* draft - due in 4 weeks,draft - due in 4 weeks,deadline,synthetic,0
"- Produce the minutes deadline for Sunday at 5pm by then, please.","produce the minutes deadline for sunday at 5pm by then, please",deadline,synthetic,0
Invoice - due by EOD.,invoice - due by eod,deadline,synthetic,0
due: release notes Tuesday,due: release notes tuesday,deadline,synthetic,0
due on: expense report 7pm.,due on: expense report 7pm,deadline,synthetic,0
Slides should be due by Monday.,slides should be due by monday,deadline,synthetic,0
Timesheet - due February 16 at 7pm.,timesheet - due february 16 at 7pm,deadline,synthetic,0
submit code fix by 11am.,submit code fix by 11am,deadline,synthetic,0
"Complete dataset deadline for next Monday - Regards,.",complete dataset deadline for next monday - regards,deadline,synthetic,0
Target: summary memo deadline for January 13 at 10am.,target: summary memo deadline for january 13 at 10am,deadline,synthetic,0
Please deliver the contract in Sunday at 4pm.,please deliver the contract in sunday at 4pm,deadline,synthetic,0
Ensure the dataset is due by October 8 at 7pm.,ensure the dataset is due by october 8 at 7pm,deadline,synthetic,0
* expense report - due October 26 at 2pm,expense report - due october 26 at 2pm,deadline,synthetic,0
"• Turn in the expense report on or before July 6 Thanks,",turn in the expense report on or before july 6,deadline,synthetic,1
Don't forget to deliver the schedule due on Sunday at 4pm.,don't forget to deliver the schedule due on sunday at 4pm,deadline,synthetic,0
Can we have the summary memo due by this Tuesday?,can we have the summary memo due by this tuesday,deadline,synthetic,0
Make sure to produce the meeting notes within this Monday at 5pm.,make sure to produce the meeting notes within this monday at 5pm,deadline,synthetic,0
Invoice should be on or before 8pm.,invoice should be on or before 8pm,deadline,synthetic,0
