sentence_orig,sentence,label,label_source,has_signoff
wede chips,wede chips,task,mslatte,0
fix earring,fix earring,task,mslatte,0
clean dentures,clean dentures,task,mslatte,0
pakistan tickets,pakistan tickets,task,mslatte,0
update resume on website,update resume on website,task,mslatte,0
email salt,email salt,task,mslatte,0
set up printer wifi,set up printer wifi,task,mslatte,0
start paper,start paper,task,mslatte,0
change rent amount,change rent amount,task,mslatte,0
thermography,thermography,task,mslatte,0
go through to do,go through to do,task,mslatte,0
nasseys bread,nasseys bread,task,mslatte,0
call gibbo,call gibbo,task,mslatte,0
plan bachelorette,plan bachelorette,task,mslatte,0
fruit trees,fruit trees,task,mslatte,0
aquilino juice,aquilino juice,task,mslatte,0
print unofficial transcript,print unofficial transcript,task,mslatte,0
study physio,study physio,task,mslatte,0
call grandma grandpa,call grandma grandpa,task,mslatte,0
book brave new world,book brave new world,task,mslatte,0
stupljanin milk,stupljanin milk,task,mslatte,0
message cs girl,message cs girl,task,mslatte,0
go groceries shopping,go groceries shopping,task,mslatte,0
find wedding ring,find wedding ring,task,mslatte,0
pick up meds,pick up meds,task,mslatte,0
clean shower doors,clean shower doors,task,mslatte,0
meet jeff,meet jeff,task,mslatte,0
set up computer for dad,set up computer for dad,task,mslatte,0
lobo beef,lobo beef,task,mslatte,0
ap euro,ap euro,task,mslatte,0
sort files,sort files,task,mslatte,0
get international driver s permit,get international driver s permit,task,mslatte,0
pay lele,pay lele,task,mslatte,0
wordpress stuff,wordpress stuff,task,mslatte,0
remove baby gate,remove baby gate,task,mslatte,0
vet update,vet update,task,mslatte,0
call tonga room,call tonga room,task,mslatte,0
sew up coat,sew up coat,task,mslatte,0
woodroffe sauce,woodroffe sauce,task,mslatte,0
schedule ac service,schedule ac service,task,mslatte,0
pack for ottawa,pack for ottawa,task,mslatte,0
take ring to jewelers,take ring to jewelers,task,mslatte,0
polymer,polymer,task,mslatte,0
jefit app,jefit app,task,mslatte,0
fausto buns,fausto buns,task,mslatte,0
check clipper card,check clipper card,task,mslatte,0
fall registration,fall registration,task,mslatte,0
work on newsletter,work on newsletter,task,mslatte,0
ibm stuff,ibm stuff,task,mslatte,0
turn in learner project,turn in learner project,task,mslatte,0
eye mask and ear plugs,eye mask and ear plugs,task,mslatte,0
do gst,do gst,task,mslatte,0
trixie bath,trixie bath,task,mslatte,0
things to sell on ebay,things to sell on ebay,task,mslatte,0
address announcements,address announcements,task,mslatte,0
start digging,start digging,task,mslatte,0
look for blinds,look for blinds,task,mslatte,0
email about mailbox,email about mailbox,task,mslatte,0
amer bread,amer bread,task,mslatte,0
related products,related products,task,mslatte,0
survey send out,survey send out,task,mslatte,0
sell bindings,sell bindings,task,mslatte,0
schedule feedback sessions,schedule feedback sessions,task,mslatte,0
email ludovic,email ludovic,task,mslatte,0
dad speakers,dad speakers,task,mslatte,0
call tia,call tia,task,mslatte,0
cc report,cc report,task,mslatte,0
ipad claim,ipad claim,task,mslatte,0
text clear,text clear,task,mslatte,0
call mom about birth certificate,call mom about birth certificate,task,mslatte,0
live class,live class,task,mslatte,0
question of the week,question of the week,task,mslatte,0
call shaofeng,call shaofeng,task,mslatte,0
make gingerbread houses,make gingerbread houses,task,mslatte,0
move guitar,move guitar,task,mslatte,0
book readings,book readings,task,mslatte,0
forensic science,forensic science,task,mslatte,0
buy a perfume,buy a perfume,task,mslatte,0
fedex refund,fedex refund,task,mslatte,0
upload instagram,upload instagram,task,mslatte,0
regular journal,regular journal,task,mslatte,0
pension switch,pension switch,task,mslatte,0
hdfc card,hdfc card,task,mslatte,0
text nomfudo,text nomfudo,task,mslatte,0
book squash,book squash,task,mslatte,0
pizza recipes,pizza recipes,task,mslatte,0
safaribooks,safaribooks,task,mslatte,0
car plans,car plans,task,mslatte,0
language test,language test,task,mslatte,0
lactose free milk,lactose free milk,task,mslatte,0
plan portland trip,plan portland trip,task,mslatte,0
stool test,stool test,task,mslatte,0
mop apartment,mop apartment,task,mslatte,0
hang towel rod,hang towel rod,task,mslatte,0
message people on linkedin,message people on linkedin,task,mslatte,0
pay mtn,pay mtn,task,mslatte,0
call dad birthday,call dad birthday,task,mslatte,0
groc shop,groc shop,task,mslatte,0
schedule showing,schedule showing,task,mslatte,0
order passport,order passport,task,mslatte,0
restore store,restore store,task,mslatte,0
office quotes,office quotes,task,mslatte,0
shelves in shed,shelves in shed,task,mslatte,0
draw plan,draw plan,task,mslatte,0
practice camera,practice camera,task,mslatte,0
set up dashlane,set up dashlane,task,mslatte,0
pay jiusheng,pay jiusheng,task,mslatte,0
pick up package from ups,pick up package from ups,task,mslatte,0
return bottles to target,return bottles to target,task,mslatte,0
cardboard to recycle center,cardboard to recycle center,task,mslatte,0
pick songs for wednesday,pick songs for wednesday,task,mslatte,0
call storage unit place,call storage unit place,task,mslatte,0
turn on ooo message,turn on ooo message,task,mslatte,0
look at mri,look at mri,task,mslatte,0
pay shuhan,pay shuhan,task,mslatte,0
call for survey,call for survey,task,mslatte,0
put away amazon order,put away amazon order,task,mslatte,0
"chargers (phone, tablet, watch, reader, camera etc.)","chargers (phone, tablet, watch, reader, camera etc",task,mslatte,0
ais final,ais final,task,mslatte,0
update phone calendar,update phone calendar,task,mslatte,0
white flip flops,white flip flops,task,mslatte,0
speech questions,speech questions,task,mslatte,0
call boynton,call boynton,task,mslatte,0
dt assignment,dt assignment,task,mslatte,0
deposit insurance check,deposit insurance check,task,mslatte,0
call christos,call christos,task,mslatte,0
pack passport,pack passport,task,mslatte,0
new id,new id,task,mslatte,0
vacation budget,vacation budget,task,mslatte,0
audit tool,audit tool,task,mslatte,0
make dressing for salad,make dressing for salad,task,mslatte,0
add a blog post,add a blog post,task,mslatte,0
email recruitment,email recruitment,task,mslatte,0
enterprise claim,enterprise claim,task,mslatte,0
oil change place,oil change place,task,mslatte,0
plan xmas baking,plan xmas baking,task,mslatte,0
xmas things to do,xmas things to do,task,mslatte,0
oil and grease,oil and grease,task,mslatte,0
pay sri,pay sri,task,mslatte,0
text arnie,text arnie,task,mslatte,0
dad s application,dad s application,task,mslatte,0
face pic,face pic,task,mslatte,0
buy nyc pass,buy nyc pass,task,mslatte,0
add objectives,add objectives,task,mslatte,0
check hra,check hra,task,mslatte,0
pay lol,pay lol,task,mslatte,0
book moscow hotel,book moscow hotel,task,mslatte,0
script module,script module,task,mslatte,0
leave for texas,leave for texas,task,mslatte,0
extension cable,extension cable,task,mslatte,0
car claim,car claim,task,mslatte,0
weekend assignment,weekend assignment,task,mslatte,0
do the laundary,do the laundary,task,mslatte,0
lexus servicing,lexus servicing,task,mslatte,0
tv wall,tv wall,task,mslatte,0
study for science,study for science,task,mslatte,0
check sewer,check sewer,task,mslatte,0
paint mud room,paint mud room,task,mslatte,0
make christmas calendars,make christmas calendars,task,mslatte,0
creatine mono,creatine mono,task,mslatte,0
lunch 12 pm,lunch 12 pm,task,mslatte,0
phone,phone,task,mslatte,0
tmobile tuesdays,tmobile tuesdays,task,mslatte,0
put bags together,put bags together,task,mslatte,0
meat for barbecue,meat for barbecue,task,mslatte,0
text uriel,text uriel,task,mslatte,0
respond to tamil,respond to tamil,task,mslatte,0
scribe notes,scribe notes,task,mslatte,0
hulu deck,hulu deck,task,mslatte,0
install comsol,install comsol,task,mslatte,0
car rental refund,car rental refund,task,mslatte,0
maths exams,maths exams,task,mslatte,0
call debjit,call debjit,task,mslatte,0
news items,news items,task,mslatte,0
webtorrent,webtorrent,task,mslatte,0
call origin re gas,call origin re gas,task,mslatte,0
fertilize orchids,fertilize orchids,task,mslatte,0
call fitzroy,call fitzroy,task,mslatte,0
lambswool applicator,lambswool applicator,task,mslatte,0
text tip,text tip,task,mslatte,0
resale license,resale license,task,mslatte,0
physics hw 6,physics hw 6,task,mslatte,0
trip presentation,trip presentation,task,mslatte,0
text buzz,text buzz,task,mslatte,0
exam correction,exam correction,task,mslatte,0
pay budi,pay budi,task,mslatte,0
target cleaning supplies,target cleaning supplies,task,mslatte,0
buy study desk,buy study desk,task,mslatte,0
pick up shoes at payless,pick up shoes at payless,task,mslatte,0
1 31 homework,1 31 homework,task,mslatte,0
move car outside,move car outside,task,mslatte,0
meet with charles,meet with charles,task,mslatte,0
organise calendars,organise calendars,task,mslatte,0
baby wipes,baby wipes,task,mslatte,0
complete pdr,complete pdr,task,mslatte,0
order dog vitamins,order dog vitamins,task,mslatte,0
9 tanks,9 tanks,task,mslatte,0
dietary analysis,dietary analysis,task,mslatte,0
offsite expenses,offsite expenses,task,mslatte,0
water poinsettias,water poinsettias,task,mslatte,0
avocado oil,avocado oil,task,mslatte,0
call about the fridge,call about the fridge,task,mslatte,0
get a shelf,get a shelf,task,mslatte,0
start torrent,start torrent,task,mslatte,0
pictures to hard drive,pictures to hard drive,task,mslatte,0
bathing suits 5,bathing suits 5,task,mslatte,0
buy scotchguard,buy scotchguard,task,mslatte,0
pudding rice,pudding rice,task,mslatte,0
return jumpers,return jumpers,task,mslatte,0
organize sewing room,organize sewing room,task,mslatte,0
psychology essay,psychology essay,task,mslatte,0
contact mark,contact mark,task,mslatte,0
buy pathoma,buy pathoma,task,mslatte,0
call go daddy,call go daddy,task,mslatte,0
sign up for cpr class,sign up for cpr class,task,mslatte,0
pick up trailer tire,pick up trailer tire,task,mslatte,0
hang new curtains,hang new curtains,task,mslatte,0
text lakshmipathi,text lakshmipathi,task,mslatte,0
state farm forms,state farm forms,task,mslatte,0
cut tree branch,cut tree branch,task,mslatte,0
board conference call,board conference call,task,mslatte,0
pay vivint,pay vivint,task,mslatte,0
make chicken and dumplings,make chicken and dumplings,task,mslatte,0
set up mattress,set up mattress,task,mslatte,0
mop living room floor,mop living room floor,task,mslatte,0
nhs job,nhs job,task,mslatte,0
mail merge,mail merge,task,mslatte,0
edinburgh flights,edinburgh flights,task,mslatte,0
target for purse,target for purse,task,mslatte,0
rope,rope,task,mslatte,0
pay phones,pay phones,task,mslatte,0
email property managers,email property managers,task,mslatte,0
do cleaning,do cleaning,task,mslatte,0
fertilize lawn,fertilize lawn,task,mslatte,0
outfit 6,outfit 6,task,mslatte,0
follow up on laptop,follow up on laptop,task,mslatte,0
call wilbour,call wilbour,task,mslatte,0
review invoices,review invoices,task,mslatte,0
call teri,call teri,task,mslatte,0
quit evernote,quit evernote,task,mslatte,0
order wifi,order wifi,task,mslatte,0
change porch lightbulb,change porch lightbulb,task,mslatte,0
seedy dijon,seedy dijon,task,mslatte,0
pay estimates,pay estimates,task,mslatte,0
tylenol motrin,tylenol motrin,task,mslatte,0
respond to violetta,respond to violetta,task,mslatte,0
bed bath beyond hangers,bed bath beyond hangers,task,mslatte,0
call yuhu,call yuhu,task,mslatte,0
change door battery,change door battery,task,mslatte,0
read link,read link,task,mslatte,0
errands for the day,errands for the day,task,mslatte,0
src,src,task,mslatte,0
bring tea from home,bring tea from home,task,mslatte,0
call clipper,call clipper,task,mslatte,0
call neerja,call neerja,task,mslatte,0
package etsy order,package etsy order,task,mslatte,0
korneel cheese,korneel cheese,task,mslatte,0
email praful,email praful,task,mslatte,0
mail transfer,mail transfer,task,mslatte,0
transactional emails,transactional emails,task,mslatte,0
do poo test,do poo test,task,mslatte,0
com quiz,com quiz,task,mslatte,0
make cobra payment,make cobra payment,task,mslatte,0
read tkam,read tkam,task,mslatte,0
order ribbons,order ribbons,task,mslatte,0
get dewormer,get dewormer,task,mslatte,0
stanislawski juice,stanislawski juice,task,mslatte,0
food gatherers,food gatherers,task,mslatte,0
baseball and glove,baseball and glove,task,mslatte,0
clean out bedroom closet,clean out bedroom closet,task,mslatte,0
clean shower tub,clean shower tub,task,mslatte,0
set clocks back,set clocks back,task,mslatte,0
return zappos shoes,return zappos shoes,task,mslatte,0
kayak and paddle,kayak and paddle,task,mslatte,0
email umachandar,email umachandar,task,mslatte,0
application for conference,application for conference,task,mslatte,0
splash guards,splash guards,task,mslatte,0
paint,paint,task,mslatte,0
text bowen,text bowen,task,mslatte,0
iceland flights,iceland flights,task,mslatte,0
change barclays address,change barclays address,task,mslatte,0
replace lightbulb in kitchen,replace lightbulb in kitchen,task,mslatte,0
care plan review,care plan review,task,mslatte,0
go to sports authority,go to sports authority,task,mslatte,0
urop app,urop app,task,mslatte,0
stuff to do in the house,stuff to do in the house,task,mslatte,0
create invoice,create invoice,task,mslatte,0
bean boots,bean boots,task,mslatte,0
watch disenchantment,watch disenchantment,task,mslatte,0
fold and put away clothes,fold and put away clothes,task,mslatte,0
finish french homework,finish french homework,task,mslatte,0
one liners,one liners,task,mslatte,0
create box,create box,task,mslatte,0
make apple,make apple,task,mslatte,0
o2 bill,o2 bill,task,mslatte,0
book trips,book trips,task,mslatte,0
soda 0 liters,soda 0 liters,task,mslatte,0
buy clear eyes,buy clear eyes,task,mslatte,0
reply to job emails,reply to job emails,task,mslatte,0
frankenstein notes,frankenstein notes,task,mslatte,0
tesco balance,tesco balance,task,mslatte,0
book cave,book cave,task,mslatte,0
text sandu,text sandu,task,mslatte,0
work on podcast script,work on podcast script,task,mslatte,0
call uco,call uco,task,mslatte,0
apply for nz passport,apply for nz passport,task,mslatte,0
update seating chart,update seating chart,task,mslatte,0
check voice notes,check voice notes,task,mslatte,0
clp email,clp email,task,mslatte,0
update archive,update archive,task,mslatte,0
set up garage,set up garage,task,mslatte,0
call raghuraj,call raghuraj,task,mslatte,0
call k9,call k9,task,mslatte,0
oil change taurus,oil change taurus,task,mslatte,0
organize shop,organize shop,task,mslatte,0
finish stats homework,finish stats homework,task,mslatte,0
follow up on starred emails,follow up on starred emails,task,mslatte,0
put earbuds in backpack,put earbuds in backpack,task,mslatte,0
prayer list,prayer list,task,mslatte,0
daily workout,daily workout,task,mslatte,0
print story,print story,task,mslatte,0
treble hooks,treble hooks,task,mslatte,0
retrospect,retrospect,task,mslatte,0
typhoid vaccine,typhoid vaccine,task,mslatte,0
carefirst,carefirst,task,mslatte,0
email vilchis,email vilchis,task,mslatte,0
email wenhui,email wenhui,task,mslatte,0
text kanwaldeep,text kanwaldeep,task,mslatte,0
fix clothes,fix clothes,task,mslatte,0
spanish online activities,spanish online activities,task,mslatte,0
compare health insurance,compare health insurance,task,mslatte,0
repair fence,repair fence,task,mslatte,0
clean bathroom cabinets,clean bathroom cabinets,task,mslatte,0
sell all stuff,sell all stuff,task,mslatte,0
change photo,change photo,task,mslatte,0
print tutorial,print tutorial,task,mslatte,0
acc call,acc call,task,mslatte,0
check myhr,check myhr,task,mslatte,0
check singtel,check singtel,task,mslatte,0
mountain goats tickets,mountain goats tickets,task,mslatte,0
call chanisha,call chanisha,task,mslatte,0
cc call,cc call,task,mslatte,0
orlandi,orlandi,task,mslatte,0
return suspenders,return suspenders,task,mslatte,0
call vignesh,call vignesh,task,mslatte,0
swim plan,swim plan,task,mslatte,0
clean out bottles,clean out bottles,task,mslatte,0
get laundry done,get laundry done,task,mslatte,0
order final transcript,order final transcript,task,mslatte,0
check phone back up,check phone back up,task,mslatte,0
red brew,red brew,task,mslatte,0
people to inform,people to inform,task,mslatte,0
print tiket flight,print tiket flight,task,mslatte,0
pizza delicious,pizza delicious,task,mslatte,0
check on timesheet,check on timesheet,task,mslatte,0
overtime,overtime,task,mslatte,0
cosmosdb,cosmosdb,task,mslatte,0
m s wine,m s wine,task,mslatte,0
company brochure,company brochure,task,mslatte,0
mansell sauce,mansell sauce,task,mslatte,0
pick up hairspray,pick up hairspray,task,mslatte,0
dissection kit,dissection kit,task,mslatte,0
label school supplies,label school supplies,task,mslatte,0
buy universal studios tickets,buy universal studios tickets,task,mslatte,0
hubweek,hubweek,task,mslatte,0
alarm code,alarm code,task,mslatte,0
clothes work,clothes work,task,mslatte,0
spanish hmwk,spanish hmwk,task,mslatte,0
put up shade,put up shade,task,mslatte,0
video equipment,video equipment,task,mslatte,0
apply for saved linkedin jobs,apply for saved linkedin jobs,task,mslatte,0
copytalk,copytalk,task,mslatte,0
pt session,pt session,task,mslatte,0
remove spider webs,remove spider webs,task,mslatte,0
move furniture and vacuum,move furniture and vacuum,task,mslatte,0
gardners,gardners,task,mslatte,0
start shopping list,start shopping list,task,mslatte,0
js paper,js paper,task,mslatte,0
new suppliers,new suppliers,task,mslatte,0
mgt final,mgt final,task,mslatte,0
spanish vocab study,spanish vocab study,task,mslatte,0
call akshita,call akshita,task,mslatte,0
return chair covers,return chair covers,task,mslatte,0
boys schedule,boys schedule,task,mslatte,0
paint back wall,paint back wall,task,mslatte,0
vacuum out fireplace,vacuum out fireplace,task,mslatte,0
pay siye,pay siye,task,mslatte,0
mymoney,mymoney,task,mslatte,0
post upwork job,post upwork job,task,mslatte,0
return items target,return items target,task,mslatte,0
go through pics,go through pics,task,mslatte,0
tshirts x6,tshirts x6,task,mslatte,0
buy colonoscopy stuff,buy colonoscopy stuff,task,mslatte,0
setup tv,setup tv,task,mslatte,0
donation boxes,donation boxes,task,mslatte,0
bring direct deposit,bring direct deposit,task,mslatte,0
wipes,wipes,task,mslatte,0
get saturday off,get saturday off,task,mslatte,0
sweep back patio,sweep back patio,task,mslatte,0
tioletries,tioletries,task,mslatte,0
jacket,jacket,task,mslatte,0
replace rear brake light,replace rear brake light,task,mslatte,0
print gre confirmation,print gre confirmation,task,mslatte,0
school reimbursement,school reimbursement,task,mslatte,0
take off rings,take off rings,task,mslatte,0
look for bike on craigslist,look for bike on craigslist,task,mslatte,0
roaming options,roaming options,task,mslatte,0
socks,socks,task,mslatte,0
order amazon prime,order amazon prime,task,mslatte,0
email changshun,email changshun,task,mslatte,0
application prep,application prep,task,mslatte,0
follow up doctors appointment,follow up doctors appointment,task,mslatte,0
board name tags,board name tags,task,mslatte,0
sell xbox,sell xbox,task,mslatte,0
self assessment form,self assessment form,task,mslatte,0
update voter registration,update voter registration,task,mslatte,0
go through papers,go through papers,task,mslatte,0
pause netflix,pause netflix,task,mslatte,0
more usb cables,more usb cables,task,mslatte,0
recharge starbucks card,recharge starbucks card,task,mslatte,0
appeal email,appeal email,task,mslatte,0
call rebosa,call rebosa,task,mslatte,0
bike pick up,bike pick up,task,mslatte,0
reply to roksana,reply to roksana,task,mslatte,0
clean changing pad,clean changing pad,task,mslatte,0
finish algebra review,finish algebra review,task,mslatte,0
invoice for sam,invoice for sam,task,mslatte,0
manage social media,manage social media,task,mslatte,0
batchvarov turkey,batchvarov turkey,task,mslatte,0
questions for midwife,questions for midwife,task,mslatte,0
hangnail,hangnail,task,mslatte,0
clean garbage,clean garbage,task,mslatte,0
maven,maven,task,mslatte,0
order more insoles,order more insoles,task,mslatte,0
go through fridge,go through fridge,task,mslatte,0
wireless hw,wireless hw,task,mslatte,0
group project research,group project research,task,mslatte,0
go through clothes in bedroom,go through clothes in bedroom,task,mslatte,0
fran email,fran email,task,mslatte,0
get picture frames,get picture frames,task,mslatte,0
small clam juice,small clam juice,task,mslatte,0
toilet paper,toilet paper,task,mslatte,0
ipad,ipad,task,mslatte,0
email damyan,email damyan,task,mslatte,0
video thumbnails,video thumbnails,task,mslatte,0
call dr i,call dr i,task,mslatte,0
